Month,Sales
1/1/2017 0:00,266
2/1/2017 0:00,145.9
3/1/2017 0:00,183.1
4/1/2017 0:00,119.3
5/1/2017 0:00,180.3
6/1/2017 0:00,168.5
7/1/2017 0:00,231.8
8/1/2017 0:00,224.5
9/1/2017 0:00,192.8
10/1/2017 0:00,122.9
11/1/2017 0:00,336.5
12/1/2017 0:00,185.9
1/1/2018 0:00,194.3
2/1/2018 0:00,149.5
3/1/2018 0:00,210.1
4/1/2018 0:00,273.3
5/1/2018 0:00,191.4
6/1/2018 0:00,287
7/1/2018 0:00,226
8/1/2018 0:00,303.6
9/1/2018 0:00,289.9
10/1/2018 0:00,421.6
11/1/2018 0:00,264.5
12/1/2018 0:00,342.3
1/1/2019 0:00,339.7
2/1/2019 0:00,440.4
3/1/2019 0:00,315.9
4/1/2019 0:00,439.3
5/1/2019 0:00,401.3
6/1/2019 0:00,437.4
7/1/2019 0:00,575.5
8/1/2019 0:00,407.6
9/1/2019 0:00,682
10/1/2019 0:00,475.3
11/1/2019 0:00,581.3
12/1/2019 0:00,646.9
